# Termux aarch64 packages composing app/src/main/assets/tshark-prefix.zip
# Regenerated by scripts/build-tshark-bundle.sh; do not edit by hand.
# The SHA-256 is the repository index's, verified against the downloaded
# .deb at build time; a later rebuild that sees the same version with a
# different hash fails rather than bundling it.
# package	version	sha256	source
libnghttp2	1.70.0	ab2e0a3408fe4934ffdf774bd5049a265db2e6db62dcb651baecbecfb81e3f0b	https://packages.termux.dev/apt/termux-main/pool/main/libn/libnghttp2/libnghttp2_1.70.0_aarch64.deb
libnghttp3	1.18.0	0be2ee96def3608afaf24eb0b4b55f3484a37c95ea21bb1d6d85c7d543467603	https://packages.termux.dev/apt/termux-main/pool/main/libn/libnghttp3/libnghttp3_1.18.0_aarch64.deb
libngtcp2	1.25.0	f471bad7f4329b6b0b4aedf124e0a23a35f6ac99bfbae73304136f8bfd570fc3	https://packages.termux.dev/apt/termux-main/pool/main/libn/libngtcp2/libngtcp2_1.25.0_aarch64.deb
libnl	3.12.0	624781f25f3d3c4680eb7c00d325b2b1211f0b0c834313d5099237f60fabdc73	https://packages.termux.dev/apt/termux-main/pool/main/libn/libnl/libnl_3.12.0_aarch64.deb
libopus	1.6.1	005a9335ce0ec0f510bbe6e0229c901d6f920cc375fcda56461e96cef70f8ff0	https://packages.termux.dev/apt/termux-main/pool/main/libo/libopus/libopus_1.6.1_aarch64.deb
libpcap	1.10.5-1	3cc510e9f6ed2ef5e6537c59d1bd5f752d591664a7999d4325037a6f5eb924eb	https://packages.termux.dev/apt/termux-main/pool/main/libp/libpcap/libpcap_1.10.5-1_aarch64.deb
libsnappy	1.2.2-1	db6b8552ec7940b76b725c8be7f53f5cf683d9c22bb5ca07511d1fbd1448b65c	https://packages.termux.dev/apt/termux-main/pool/main/libs/libsnappy/libsnappy_1.2.2-1_aarch64.deb
libsqlite	3.53.4	0e909ce0d50fe123305446cd22e0c5edf535d40344b9b065fbdcdee52f53198d	https://packages.termux.dev/apt/termux-main/pool/main/libs/libsqlite/libsqlite_3.53.4_aarch64.deb
libssh	0.12.2	05cfb1d6f70e9b316f1eac7a5ec9139f884e644d6d91e668e9ca49716aad8ff0	https://packages.termux.dev/apt/termux-main/pool/main/libs/libssh/libssh_0.12.2_aarch64.deb
libtasn1	4.21.0	1d02de3a7e5ef4ff7d893597091176b8ddf135f1ddfacff951f76c18711a7342	https://packages.termux.dev/apt/termux-main/pool/main/libt/libtasn1/libtasn1_4.21.0_aarch64.deb
libunbound	1.26.0	b7dc8206c8aa22463938b2691f15358b5a656f04100e24ad799b50df0a7a0a1a	https://packages.termux.dev/apt/termux-main/pool/main/libu/libunbound/libunbound_1.26.0_aarch64.deb
libunistring	1.4.2	5ff75cdf3ddd4ddf5dc9705050f270c3422820295a4b26f93496d3e8e9060122	https://packages.termux.dev/apt/termux-main/pool/main/libu/libunistring/libunistring_1.4.2_aarch64.deb
libxml2	2.15.4	cc518f2045db589a0dfc10b0d2c4a18234b80911c8e89ec60bf0eff7bb4db600	https://packages.termux.dev/apt/termux-main/pool/main/libx/libxml2/libxml2_2.15.4_aarch64.deb
ncurses	6.6.20260307+really6.5.20250830	f44bbfdc3d42ec0217bffa978309390e59cea5a48a9a83226d4a496c42ad0b99	https://packages.termux.dev/apt/termux-main/pool/main/n/ncurses/ncurses_6.6.20260307+really6.5.20250830_aarch64.deb
ncurses-ui-libs	6.6.20260307+really6.5.20250830	7393f369009be189b3d4ec1f9b16ebd57621d6a1b22949ae07685573950d1f37	https://packages.termux.dev/apt/termux-main/pool/main/n/ncurses-ui-libs/ncurses-ui-libs_6.6.20260307+really6.5.20250830_aarch64.deb
openssl	1:3.6.3	86760e9ce736f463236f2c15b1eb3a3fdcfc5778d0fd7077a917448dcc90f3aa	https://packages.termux.dev/apt/termux-main/pool/main/o/openssl/openssl_1:3.6.3_aarch64.deb
p11-kit	0.26.5	7911d7427e3c7182cf364e56a45a92307e5e7fddc105dc468f25ae39aa3e0ad7	https://packages.termux.dev/apt/termux-main/pool/main/p/p11-kit/p11-kit_0.26.5_aarch64.deb
pcre2	10.47	51f915d22de639bfca6ec029ae613987bbe3bc73626eede13319fd2e95f50b63	https://packages.termux.dev/apt/termux-main/pool/main/p/pcre2/pcre2_10.47_aarch64.deb
python	3.14.6-1	3166e56c2b6c03fff41191fbb9d736302978e7c484702814d9f6dc99dd6006bd	https://packages.termux.dev/apt/termux-main/pool/main/p/python/python_3.14.6-1_aarch64.deb
readline	8.3.3	e50fb67f40753247dbb83efb17c7fbee0ac868ffcb5b5555d44d76ec8d90b4b1	https://packages.termux.dev/apt/termux-main/pool/main/r/readline/readline_8.3.3_aarch64.deb
resolv-conf	1.3	ab541abac8e0c81709cd7ca4a02bcfa0d60ba1f4bfe7fd6dce4a694a4a9dfffa	https://packages.termux.dev/apt/termux-main/pool/main/r/resolv-conf/resolv-conf_1.3_aarch64.deb
speexdsp	1.2.1-1	21cd5d122a8d24dffb9b2926dff7059f8f42cde7c5a91f27ea5c9b4f40356be0	https://packages.termux.dev/apt/termux-main/pool/main/s/speexdsp/speexdsp_1.2.1-1_aarch64.deb
tcpdump	4.99.4-1	853f01e74acb8532394e2321d823d9d7926ba78a0503a554a6189d32caeafddb	https://packages.termux.dev/apt/termux-root/pool/stable/t/tcpdump/tcpdump_4.99.4-1_aarch64.deb
tshark	4.6.8	386c3106c056d981a4457ee3b9a7e7fe87d2e838f31b7945dd8927e5230bb4d7	https://packages.termux.dev/apt/termux-root/pool/stable/t/tshark/tshark_4.6.8_aarch64.deb
zlib	1.3.2	75e7d0af17fcc3b40004309fdc00a1ddb9ae08346dce5e269902c34ac3966ac9	https://packages.termux.dev/apt/termux-main/pool/main/z/zlib/zlib_1.3.2_aarch64.deb
zstd	1.5.7-1	e1b4a5113648da8de189620ba1fce74c48b2d0833d9043391b9a1c91fb606fd3	https://packages.termux.dev/apt/termux-main/pool/main/z/zstd/zstd_1.5.7-1_aarch64.deb
